Time,epoch,optimize,reward,score,epsilon
"2022-01-06 00:00:37,306",146,4025,0.1,42,0.097674
"2022-01-06 00:00:42,763",147,4049,0.2,43,0.097661
"2022-01-06 00:00:48,122",148,4072,0.1,42,0.097649
"2022-01-06 00:00:53,227",149,4094,0.1,42,0.097637
"2022-01-06 00:00:59,264",150,4121,0.3,50,0.097623
"2022-01-06 00:01:06,000",151,4151,0.5,58,0.097607
"2022-01-06 00:01:11,387",152,4176,0.2,42,0.097594
"2022-01-06 00:01:16,400",153,4196,0,42,0.097583
"2022-01-06 00:01:21,795",154,4220,0.2,43,0.09757
"2022-01-06 00:01:30,808",155,4260,1,75,0.097549
"2022-01-06 00:01:35,858",156,4282,0.1,42,0.097537
"2022-01-06 00:01:41,239",157,4307,0.2,42,0.097524
"2022-01-06 00:01:49,358",158,4344,0.8,68,0.097505
"2022-01-06 00:01:54,568",159,4366,0.1,42,0.097494
"2022-01-06 00:01:59,999",160,4390,0.2,42,0.097481
"2022-01-06 00:02:05,282",161,4412,0.1,42,0.097469
"2022-01-06 00:02:13,843",162,4450,0.9,73,0.097449
"2022-01-06 00:02:18,913",163,4472,0.1,42,0.097437
"2022-01-06 00:02:23,933",164,4494,0.1,42,0.097425
"2022-01-06 00:02:29,419",165,4518,0.2,42,0.097412
"2022-01-06 00:02:34,857",166,4542,0.2,42,0.097399
"2022-01-06 00:02:39,957",167,4564,0.1,42,0.097387
"2022-01-06 00:02:47,296",168,4597,0.6,60,0.09737
"2022-01-06 00:02:54,747",169,4629,0.6,63,0.097353
"2022-01-06 00:03:00,874",170,4655,0.3,52,0.097339
"2022-01-06 00:03:06,120",171,4681,0.3,42,0.097325
"2022-01-06 00:03:11,349",172,4705,0.2,42,0.097312
"2022-01-06 00:03:16,363",173,4727,0.1,42,0.0973
"2022-01-06 00:03:21,592",174,4751,0.2,42,0.097287
"2022-01-06 00:03:27,009",175,4775,0.2,42,0.097274
"2022-01-06 00:03:32,084",176,4799,0.2,42,0.097261
"2022-01-06 00:03:37,175",177,4819,0,42,0.09725
"2022-01-06 00:03:42,238",178,4843,0.1,42,0.097238
"2022-01-06 00:03:49,578",179,4875,0.6,61,0.097221
"2022-01-06 00:03:54,893",180,4897,0.1,42,0.097209
"2022-01-06 00:04:02,577",181,4931,0.7,64,0.097191
"2022-01-06 00:04:07,596",182,4953,0.1,42,0.097179
"2022-01-06 00:04:15,072",183,4985,0.6,61,0.097162
"2022-01-06 00:04:22,607",184,5019,0.7,62,0.097144
"2022-01-06 00:04:29,374",185,5049,0.5,57,0.097128
"2022-01-06 00:04:41,141",186,5103,1.7,100,0.0971
"2022-01-06 00:04:47,950",187,5131,0.4,54,0.097085
"2022-01-06 00:04:54,433",188,5159,0.4,54,0.09707
"2022-01-06 00:04:59,850",189,5184,0.2,42,0.097057
"2022-01-06 00:05:09,566",190,5226,1.1,82,0.097035
"2022-01-06 00:05:14,908",191,5249,0.1,42,0.097023
"2022-01-06 00:05:20,331",192,5271,0.1,42,0.097011
"2022-01-06 00:05:26,769",193,5299,0.4,51,0.096996
"2022-01-06 00:05:31,836",194,5319,0,42,0.096985
"2022-01-06 00:05:37,104",195,5341,0.1,42,0.096973
"2022-01-06 00:05:43,914",196,5369,0.4,55,0.096958
"2022-01-06 00:05:49,040",197,5391,0.1,42,0.096946
"2022-01-06 00:05:54,206",198,5414,0.1,42,0.096934
"2022-01-06 00:05:59,564",199,5436,0.1,42,0.096922
"2022-01-06 00:06:04,950",200,5458,0.1,42,0.09691
"2022-01-06 00:06:12,622",201,5488,0.5,62,0.096894
"2022-01-06 00:06:21,766",202,5529,1,78,0.096873
"2022-01-06 00:06:27,196",203,5553,0.2,43,0.09686
"2022-01-06 00:06:32,357",204,5575,0.1,42,0.096848
"2022-01-06 00:06:37,613",205,5597,0.1,42,0.096836
"2022-01-06 00:06:45,481",206,5631,0.7,66,0.096818
"2022-01-06 00:06:52,993",207,5665,0.7,61,0.0968
"2022-01-06 00:06:58,211",208,5687,0.1,42,0.096788
"2022-01-06 00:07:05,726",209,5721,0.7,64,0.09677
"2022-01-06 00:07:10,931",210,5743,0.1,42,0.096758
"2022-01-06 00:07:17,252",211,5771,0.4,50,0.096743
"2022-01-06 00:07:22,282",212,5791,0,42,0.096732
"2022-01-06 00:07:27,474",213,5813,0.1,42,0.09672
"2022-01-06 00:07:34,670",214,5845,0.6,58,0.096703
"2022-01-06 00:07:39,940",215,5867,0.1,42,0.096691
"2022-01-06 00:07:46,440",216,5895,0.4,54,0.096676
"2022-01-06 00:07:53,537",217,5927,0.6,58,0.096659
"2022-01-06 00:08:00,947",218,5957,0.5,61,0.096643
"2022-01-06 00:08:07,415",219,5985,0.4,52,0.096628
"2022-01-06 00:08:12,623",220,6007,0.1,42,0.096616
"2022-01-06 00:08:19,291",221,6035,0.4,54,0.096601
"2022-01-06 00:08:25,900",222,6063,0.4,54,0.096586
"2022-01-06 00:08:31,373",223,6085,0.1,42,0.096574
"2022-01-06 00:08:38,718",224,6117,0.6,60,0.096557
"2022-01-06 00:08:44,001",225,6139,0.1,42,0.096545
"2022-01-06 00:08:49,514",226,6163,0.2,43,0.096532
"2022-01-06 00:08:54,653",227,6185,0.1,42,0.09652
"2022-01-06 00:09:00,137",228,6209,0.2,43,0.096507
"2022-01-06 00:09:08,253",229,6244,0.7,68,0.09649
"2022-01-06 00:09:13,680",230,6266,0.1,42,0.096478
"2022-01-06 00:09:20,160",231,6292,0.3,54,0.096464
"2022-01-06 00:09:28,125",232,6329,0.8,67,0.096445
"2022-01-06 00:09:35,269",233,6364,0.7,60,0.096427
"2022-01-06 00:09:48,566",234,6429,2.2,113,0.096394
"2022-01-06 00:09:54,833",235,6459,0.5,52,0.096378
"2022-01-06 00:09:59,972",236,6483,0.2,42,0.096365
"2022-01-06 00:10:07,312",237,6518,0.7,59,0.096347
"2022-01-06 00:10:14,157",238,6546,0.4,58,0.096332
"2022-01-06 00:10:22,306",239,6580,0.7,67,0.096314
"2022-01-06 00:10:28,876",240,6608,0.4,52,0.096299
"2022-01-06 00:10:33,993",241,6629,0,43,0.096288
"2022-01-06 00:10:40,624",242,6657,0.4,55,0.096273
"2022-01-06 00:10:46,485",243,6681,0.2,48,0.09626
"2022-01-06 00:10:51,729",244,6703,0.1,42,0.096248
"2022-01-06 00:10:56,805",245,6725,0.1,42,0.096236
"2022-01-06 00:11:01,853",246,6747,0.1,42,0.096224
"2022-01-06 00:11:07,408",247,6771,0.2,44,0.096211
"2022-01-06 00:11:13,850",248,6799,0.4,55,0.096196
"2022-01-06 00:11:19,215",249,6823,0.2,42,0.096183
"2022-01-06 00:11:24,358",250,6845,0.1,42,0.096171
"2022-01-06 00:11:30,710",251,6873,0.4,52,0.096156
"2022-01-06 00:11:35,803",252,6895,0.1,42,0.096144
"2022-01-06 00:11:44,550",253,6935,1,75,0.096123
"2022-01-06 00:11:49,599",254,6955,0,42,0.096112
"2022-01-06 00:11:55,046",255,6977,0.1,42,0.0961
"2022-01-06 00:12:02,670",256,7012,0.7,62,0.096082
"2022-01-06 00:12:09,815",257,7040,0.4,59,0.096067
"2022-01-06 00:12:16,486",258,7070,0.5,56,0.096051
"2022-01-06 00:12:24,851",259,7108,0.9,71,0.096031
"2022-01-06 00:12:29,933",260,7131,0.1,42,0.096019
"2022-01-06 00:12:35,004",261,7153,0.1,42,0.096007
"2022-01-06 00:12:42,558",262,7188,0.7,64,0.095989
"2022-01-06 00:12:52,900",263,7234,1.3,87,0.095965
"2022-01-06 00:13:00,478",264,7266,0.6,64,0.095948
"2022-01-06 00:13:09,719",265,7309,1.1,79,0.095926
"2022-01-06 00:13:17,329",266,7342,0.6,62,0.095909
"2022-01-06 00:13:22,463",267,7364,0.1,42,0.095897
"2022-01-06 00:13:27,800",268,7386,0.1,42,0.095885
"2022-01-06 00:13:34,413",269,7416,0.4,52,0.09587
"2022-01-06 00:13:41,086",270,7445,0.4,55,0.095855
"2022-01-06 00:13:50,468",271,7485,1,78,0.095834
"2022-01-06 00:13:57,511",272,7515,0.5,58,0.095818
"2022-01-06 00:14:03,335",273,7537,0.1,49,0.095806
"2022-01-06 00:14:10,562",274,7569,0.6,59,0.095789
"2022-01-06 00:14:16,004",275,7593,0.1,42,0.095777
"2022-01-06 00:14:27,463",276,7644,1.5,96,0.095751
"2022-01-06 00:14:36,304",277,7680,0.8,74,0.095732
"2022-01-06 00:14:42,717",278,7708,0.4,52,0.095717
"2022-01-06 00:14:49,311",279,7736,0.4,53,0.095702
"2022-01-06 00:14:57,455",280,7773,0.8,67,0.095683
"2022-01-06 00:15:04,539",281,7804,0.5,59,0.095667
"2022-01-06 00:15:11,524",282,7832,0.4,57,0.095652
"2022-01-06 00:15:18,327",283,7858,0.3,58,0.095638
"2022-01-06 00:15:24,180",284,7882,0.2,48,0.095625
"2022-01-06 00:15:29,272",285,7904,0.1,42,0.095613
"2022-01-06 00:15:34,407",286,7926,0.1,42,0.095601
"2022-01-06 00:15:39,503",287,7948,0.1,42,0.095589
"2022-01-06 00:15:52,349",288,8006,1.9,111,0.095559
"2022-01-06 00:16:00,264",289,8039,0.6,65,0.095542
"2022-01-06 00:16:08,287",290,8075,0.8,66,0.095523
"2022-01-06 00:16:13,732",291,8097,0.1,42,0.095511
"2022-01-06 00:16:19,206",292,8120,0.1,43,0.0955
"2022-01-06 00:16:24,259",293,8142,0.1,42,0.095488
"2022-01-06 00:16:29,364",294,8164,0.1,42,0.095476
"2022-01-06 00:16:34,410",295,8186,0.1,42,0.095464
"2022-01-06 00:16:41,090",296,8216,0.5,56,0.095448
"2022-01-06 00:16:46,279",297,8237,0,42,0.095437
"2022-01-06 00:16:51,308",298,8259,0.1,42,0.095425
"2022-01-06 00:16:58,470",299,8291,0.6,61,0.095408
"2022-01-06 00:17:05,049",300,8319,0.4,53,0.095393
"2022-01-06 00:17:10,375",301,8341,0.1,42,0.095381
"2022-01-06 00:17:18,308",302,8377,0.7,68,0.095363
"2022-01-06 00:17:25,833",303,8411,0.7,63,0.095345
"2022-01-06 00:17:31,108",304,8433,0.1,42,0.095333
"2022-01-06 00:17:36,255",305,8455,0.1,42,0.095321
"2022-01-06 00:17:41,681",306,8479,0.2,42,0.095308
"2022-01-06 00:17:47,536",307,8505,0.3,48,0.095294
"2022-01-06 00:17:53,954",308,8533,0.4,52,0.095279
"2022-01-06 00:18:01,209",309,8565,0.6,60,0.095262
"2022-01-06 00:18:07,271",310,8591,0.3,51,0.095248
"2022-01-06 00:18:12,577",311,8616,0.2,42,0.095235
"2022-01-06 00:18:17,701",312,8638,0.1,42,0.095223
"2022-01-06 00:18:41,465",313,8740,4.1,198,0.095171
"2022-01-06 00:18:46,785",314,8758,-0.1,42,0.095161
"2022-01-06 00:18:52,070",315,8778,0,42,0.09515
